wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
Ross 198,Gaia EDR3 2177776331525931136,21 26 25.96,55 13 35.42,DA,12798.1357,8.366084,33.72,14.75,
Ross 203,Gaia EDR3 6842831888437047680,21 36 16.67,-13 18 36.78,DA,10193.0,7.86,23.41,13.68,
Ross 627,Ross 627,11 24 12.96,21 21 32.40,DA,7346.0,8.1,13.6,14.24,14.86
Ross 808,Gaia EDR3 1372458109403442432,16 01 23.32,36 48 25.56,DA,11148.0,7.991,32.82,14.36,14.83
SDSS J074730.12+110733.8,Gaia EDR3 3151407827963355136,07 47 30.18,11 07 31.78,DA,8054.0,8.887,27.62,,17.13
SDSS J083123.38+333148.6,Gaia EDR3 710947968027922176,08 31 23.44,33 31 46.64,DA,5809.0,8.105,39.89,,18.73
SDSS J110318.87+393558.3,Gaia EDR3 776981269136616960,11 03 18.95,39 35 58.24,DAZ,4993.0,7.91,38.88,,20.0
SDSS J131730.85+483332.8,Gaia EDR3 1556005701461744640,13 17 30.75,48 33 31.24,DA,5903.0,8.042,39.01,,18.422
Ton 953,Gaia EDR3 716504796716020352,08 49 09.32,34 29 47.86,DAZ,7452.0,7.954,30.89,15.71,16.20879
Ton S 56,MCT 2231-2935,22 34 26.97,-29 19 45.16,DA,17284.0,8.195,0.0,15.71,
V* CD Oct,Gaia EDR3 6358158435541361792,22 04 18.65,-75 13 24.88,DA,8748.0,8.66,19.03,15.04,
V* CL Oct,Gaia EDR3 4613612951211823104,03 17 14.83,-85 32 25.75,DA,33000.0,,29.38,13.66,
V* DN Dra,Gaia EDR3 1431783457574556672,16 48 25.91,59 03 17.89,DA,12369.9449,8.301195,10.95,12.24,
V* EG UMa,Gaia EDR3 1548104507825815296,12 15 43.94,52 30 59.18,DA+dM,18840.0,8.3,28.61,13.23,14.672
V* MY Aps,Gaia EDR3 5772718006135360128,14 33 06.54,-81 20 20.37,DAV,12128.0,7.98,20.89,13.75,
V* PY Vul,Gaia EDR3 2025389380082340992,19 37 14.28,27 43 19.08,DA,12062.0309,8.056305,18.26,12.987,
